Date,AdvReg,Reg,Local
1/1/2005,12.47,17.46,16.63
1/1/2006,12.66,21.02,15.42
1/1/2007,15.37,21.77,15.63
1/1/2008,16.79,24.08,15.55
1/1/2009,16.17,28.4,14.38
1/1/2010,16.45,32.78,11.76
1/1/2011,16.3,36.68,7.89
1/1/2012,16.53,41.21,2.7
1/1/2013,17.02,41.4,2.85
1/1/2014,17.59,43.02,3.54
1/1/2015,18.24,45.48,3.51
