boro_name,fifteenpop,fortypop,racewhite,raceblack,racehispanic,raceasian,eduhigh,edubach,incomemedian,incomeweekly,incomepoverty
Manhattan,1644518,1691617,46.9,12.6,25.9,11.7,86.3,59.3,71656,1829,17.7
Bronx,1455444,1579245,10.2,29.6,54.8,3.8,70.2,18.3,34284,938,31.5
Brooklyn,2636735,2840525,35.6,31.1,19.5,11.7,78.9,31.6,46958,835,23.4
Staten Island,474558,501109,62.5,9.1,18.1,7.9,88.2,30.6,74043,877,14.5
Queens,2339150,2373551,25.7,17.4,28,24.7,80.4,30.2,57210,930,15.4
Citywide,8550405,9025145,32.3,22.3,29,13.7,80.1,35,52737,1262,20.6
