DBN,School,District,Borough,Schoolnum,ThreeELA,ThreeMath,FourELA,FourMath,FiveELA,FiveMath,SixELA,SixMath,SevenELA,SevenMath,EightELA,EightMath,AllGradeELA,AllGradeMath
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),10,Bronx,368,,,,,,,23.97,35.16,30.57,18.29,32.87,4.80,29.45,19.42
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2,Manhattan,407,,,,,,,50.00,30.00,80.00,70.00,0.00,0.00,60.00,45.83
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,10,Bronx,342,,,,,,,5.13,5.13,9.09,5.26,20.00,13.73,11.51,8.16
26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,26,Queens,172,,,,,,,55.42,57.67,51.90,53.24,64.56,22.63,57.44,47.84
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,4,Manhattan,825,,,,,,,23.08,22.64,14.67,5.19,5.95,3.57,13.27,8.88
28Q008,J.H.S. 008 RICHARD S. GROSSLEY,28,Queens,8,,,,,,,9.41,10.11,11.97,5.88,13.79,7.56,11.95,7.65
22K014,J.H.S. 014 SHELL BANK,22,Brooklyn,14,,,,,,,17.78,18.06,20.00,23.60,22.75,23.70,20.34,22.02
09X022,J.H.S. 022 JORDAN L. MOTT,9,Bronx,22,,,,,,,5.00,5.34,5.04,3.91,17.69,5.88,9.49,5.06
14K050,J.H.S. 050 JOHN D. WELLS,14,Brooklyn,50,,,,,,,22.73,9.09,12.24,7.27,28.38,8.33,22.16,8.20
06M052,J.H.S. 052 INWOOD,6,Manhattan,52,,,,,,,9.80,11.11,16.67,7.94,29.41,14.72,19.95,11.59
03M054,J.H.S. 054 BOOKER T. WASHINGTON,3,Manhattan,54,,,,,,,79.52,86.99,86.40,89.64,81.09,20.59,82.20,84.23
16K057,J.H.S. 057 WHITELAW REID,16,Brooklyn,57,,,,,,,11.67,8.20,22.73,13.64,35.42,33.33,22.37,17.33
20K062,J.H.S. 062 DITMAS,20,Brooklyn,62,,,,,,,36.14,38.61,32.67,25.93,38.55,30.14,35.88,31.38
26Q067,J.H.S. 067 LOUIS PASTEUR,26,Queens,67,,,,,,,66.33,77.41,70.31,71.12,76.03,,70.54,74.67
26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,26,Queens,74,,,,,,,64.41,78.93,67.30,80.21,71.31,53.64,67.66,73.58
22K078,J.H.S. 078 ROY H. MANN,22,Brooklyn,78,,,,,,,18.13,16.28,18.95,9.78,24.69,2.12,21.03,9.17
10X080,J.H.S. 080 THE MOSHOLU PARKWAY,10,Bronx,80,,,,,,,13.81,24.37,14.71,17.73,12.77,2.08,13.79,16.04
15K088,J.H.S. 088 PETER ROUGET,15,Brooklyn,88,,,,,,,32.51,42.79,39.04,44.12,35.26,11.11,35.53,35.09
12X098,J.H.S. 098 HERMAN RIDDER,12,Bronx,98,,,,,,,10.34,34.38,4.69,14.52,14.29,12.28,9.62,17.88
02M104,J.H.S. 104 SIMON BARUCH,2,Manhattan,104,,,,,,,57.71,67.88,63.56,68.60,66.04,38.03,62.36,61.47
10X118,J.H.S. 118 WILLIAM W. NILES,10,Bronx,118,,,,,,,37.13,35.45,42.24,43.75,35.88,28.05,38.41,35.92
08X123,J.H.S. 123 JAMES M. KIERAN,8,Bronx,123,,,,,,,7.46,5.41,12.04,11.61,27.43,4.10,17.01,7.14
08X125,J.H.S. 125 HENRY HUDSON,8,Bronx,125,,,,,,,12.64,20.62,23.23,11.82,22.30,0.00,20.06,10.22
11X127,J.H.S. 127 THE CASTLE HILL,11,Bronx,127,,,,,,,23.11,19.84,35.07,28.57,33.33,9.50,30.40,19.68
08X131,J.H.S. 131 ALBERT EINSTEIN,8,Bronx,131,,,,,,,11.95,10.63,9.29,0.00,15.00,1.16,12.42,4.01
06M143,J.H.S. 143 ELEANOR ROOSEVELT,6,Manhattan,143,,,,,,,7.14,6.90,5.88,1.77,25.44,11.11,13.67,6.75
11X144,J.H.S. 144 MICHELANGELO,11,Bronx,144,,,,,,,10.07,13.48,19.87,9.27,21.89,0.73,17.65,7.93
09X145,J.H.S. 145 ARTURO TOSCANINI,9,Bronx,145,,,,,,,6.00,4.29,6.67,3.57,10.64,2.86,8.03,3.48
07X151,J.H.S. 151 LOU GEHRIG,7,Bronx,151,,,,,,,6.76,0.00,11.11,1.30,15.73,7.14,11.49,3.19
28Q157,J.H.S. 157 STEPHEN A. HALSEY,28,Queens,157,,,,,,,52.41,60.12,56.05,57.14,61.63,27.44,56.58,51.91
07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,7,Bronx,162,,,,,,,5.56,0.90,6.67,1.82,14.29,6.84,8.92,3.25
32K162,J.H.S. 162 THE WILLOUGHBY,32,Brooklyn,162,,,,,,,10.00,8.70,14.50,5.15,28.10,14.65,17.74,9.69
02M167,J.H.S. 167 ROBERT F. WAGNER,2,Manhattan,167,,,,,,,65.94,75.65,65.58,68.15,71.98,64.09,67.95,69.70
25Q185,J.H.S. 185 EDWARD BLEEKER,25,Queens,185,,,,,,,59.83,70.53,52.46,66.80,56.05,51.10,56.15,63.58
25Q189,J.H.S. 189 DANIEL CARTER BEARD,25,Queens,189,,,,,,,36.44,57.14,41.31,50.00,41.50,28.48,39.60,47.58
28Q190,J.H.S. 190 RUSSELL SAGE,28,Queens,190,,,,,,,55.07,61.39,46.59,52.81,52.98,52.19,51.32,55.19
25Q194,J.H.S. 194 WILLIAM CARR,25,Queens,194,,,,,,,49.60,59.26,50.14,53.20,58.02,48.00,52.37,53.77
20K201,J.H.S. 201 THE DYKER HEIGHTS,20,Brooklyn,201,,,,,,,59.76,63.60,60.92,65.84,68.84,56.77,62.95,62.64
27Q202,J.H.S. 202 ROBERT H. GODDARD,27,Queens,202,,,,,,,38.13,40.84,32.48,24.86,40.87,12.26,37.02,26.99
27Q210,J.H.S. 210 ELIZABETH BLACKWELL,27,Queens,210,,,,,,,31.79,31.75,31.41,33.98,40.66,23.44,34.77,29.96
26Q216,J.H.S. 216 GEORGE J. RYAN,26,Queens,216,,,,,,,67.86,76.59,62.09,73.06,69.27,68.82,66.47,72.89
28Q217,J.H.S. 217 ROBERT A. VAN WYCK,28,Queens,217,,,,,,,32.24,31.57,35.67,36.38,43.87,4.26,37.51,31.53
19K218,J.H.S. 218 JAMES P. SINNOTT,19,Brooklyn,218,,,,,,,9.90,14.04,15.45,18.11,12.96,2.08,12.95,10.91
20K220,J.H.S. 220 JOHN J. PERSHING,20,Brooklyn,220,,,,,,,30.48,41.23,30.50,52.40,30.13,52.93,30.38,48.56
20K223,J.H.S. 223 THE MONTAUK,20,Brooklyn,223,,,,,,,36.93,47.37,27.49,49.19,31.63,50.64,32.00,49.08
27Q226,J.H.S. 226 VIRGIL I. GRISSOM,27,Queens,226,,,,,,,23.69,22.34,24.64,19.86,30.72,10.27,26.59,17.15
20K227,J.H.S. 227 EDWARD B. SHALLOW,20,Brooklyn,227,,,,,,,33.75,35.83,29.97,44.16,39.95,45.23,34.63,41.78
22K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,22,Brooklyn,234,,,,,,,52.55,62.85,56.47,67.03,67.22,63.70,58.63,64.54
20K259,J.H.S. 259 WILLIAM MCKINLEY,20,Brooklyn,259,,,,,,,53.32,62.41,54.86,64.92,60.29,64.66,55.98,63.96
22K278,J.H.S. 278 MARINE PARK,22,Brooklyn,278,,,,,,,47.92,38.41,39.32,30.74,54.15,12.89,47.17,29.14
32K291,J.H.S. 291 ROLAND HAYES,32,Brooklyn,291,,,,,,,10.00,5.88,13.19,12.12,8.40,7.32,10.32,8.33
19K292,J.H.S. 292 MARGARET S. DOUGLAS,19,Brooklyn,292,,,,,,,39.55,32.77,25.00,33.98,30.94,7.09,31.50,26.34
32K383,J.H.S. 383 PHILIPPA SCHUYLER,32,Brooklyn,383,,,,,57.78,80.00,53.82,39.07,54.61,38.57,66.67,7.34,58.03,34.27
04M057,JAMES WELDON JOHNSON,4,Manhattan,57,23.26,22.09,43.02,38.37,32.98,38.30,22.99,13.79,26.37,13.19,44.44,27.78,32.21,25.66
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,29,Queens,109,,,,,,,30.00,31.91,30.14,27.02,43.03,6.87,34.59,23.38
14K126,JOHN ERICSSON MIDDLE SCHOOL 126,14,Brooklyn,126,,,,,,,18.85,17.74,29.23,12.31,26.44,3.08,24.78,12.54
10X228,JONAS BRONCK ACADEMY,10,Bronx,228,,,,,,,39.08,29.89,34.12,22.35,64.71,30.59,45.91,27.63
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,14,Brooklyn,71,,,,,,,12.00,10.00,9.09,10.61,8.33,0.00,9.57,7.10
09X215,KAPPA,9,Bronx,215,,,,,47.06,35.29,19.23,29.63,24.19,27.42,36.63,2.04,29.07,22.97
12X316,KAPPA III,12,Bronx,316,,,,,,,20.66,23.77,30.09,23.68,33.33,37.74,27.73,28.07
05M302,KAPPA IV,5,Manhattan,302,,,,,,,6.82,0.00,7.69,2.44,8.93,0.00,7.91,0.70
23K518,KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),23,Brooklyn,518,,,,,,,12.07,8.62,28.85,21.15,28.00,10.00,22.50,13.13
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,21,Brooklyn,468,,,,,,,49.46,38.20,18.67,17.33,42.31,6.06,37.27,24.87
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,27,Queens,282,,,,,,,29.41,18.82,36.05,22.35,48.28,,37.98,20.59
11X370,LEADERS OF TOMORROW,11,Bronx,370,,,,,,,20.93,2.38,10.94,0.00,16.13,18.64,16.51,6.19
24Q305,LEARNERS AND LEADERS,24,Queens,305,25.00,50.00,52.24,61.76,,,,,,,,,38.93,56.06
19K662,LIBERTY AVENUE MIDDLE SCHOOL,19,Brooklyn,662,,,,,,,9.57,8.66,19.84,14.79,27.82,0.93,19.52,8.75
02M655,LIFE SCIENCES SECONDARY SCHOOL,2,Manhattan,655,,,,,,,9.09,18.18,6.25,6.25,10.34,0.00,8.93,5.17
27Q106,LIGHTHOUSE ELEMENTARY SCHOOL,27,Queens,106,16.13,25.81,17.14,8.57,25.00,14.29,,,,,,,19.15,15.96
11X567,LINDEN TREE ELEMENTARY SCHOOL,11,Bronx,567,25.00,20.00,,,,,,,,,,,25.00,20.00
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,2,Manhattan,896,,,,,,,37.17,60.71,62.39,69.44,56.31,53.00,51.69,61.25
09X311,LUCERO ELEMENTARY SCHOOL,9,Bronx,311,6.35,4.48,13.51,6.33,,,,,,,,,10.22,5.48
10X307,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,10,Bronx,307,21.82,18.18,28.57,25.86,20.37,22.22,,,,,,,23.64,22.16
14K586,LYONS COMMUNITY SCHOOL,14,Brooklyn,586,,,,,,,11.36,4.65,8.57,0.00,12.90,0.00,10.91,1.98
16K035,M.S. 035 STEPHEN DECATUR,16,Brooklyn,35,,,,,,,16.67,12.20,14.00,16.00,42.31,55.56,25.00,23.73
27Q053,M.S. 053 BRIAN PICCOLO,27,Queens,53,,,,,,,5.38,6.38,17.43,4.46,18.18,4.85,13.95,5.18
17K061,M.S. 061 DR. GLADSTONE H. ATWELL,17,Brooklyn,61,,,,,,,33.59,36.58,24.71,16.09,35.91,17.19,31.19,23.55
13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,13,Brooklyn,113,,,,,,,8.05,15.29,19.82,10.91,28.48,0.00,20.63,8.45
12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,12,Bronx,129,,,,,,,20.00,18.71,25.00,23.30,33.56,19.46,26.05,20.63
02M131,M.S. 131,2,Manhattan,131,,,,,,,21.95,42.39,30.00,44.16,40.68,57.81,31.76,48.40
27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,27,Queens,137,,,,,,,39.43,37.09,39.75,41.37,44.08,6.60,41.07,31.55
26Q158,M.S. 158 MARIE CURIE,26,Queens,158,,,,,,,57.77,70.65,67.75,73.08,66.38,38.46,63.69,65.14
11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,11,Bronx,180,,,,,,,34.34,34.34,46.95,36.82,56.10,29.93,46.09,33.66
07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,7,Bronx,223,,,,,,,50.00,43.02,38.30,33.33,46.74,48.91,44.85,41.70
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,4,Manhattan,224,,,,,,,44.44,34.78,54.76,41.86,43.33,0.00,46.94,37.78
03M243,M.S. 243 CENTER SCHOOL,3,Manhattan,243,,,,,82.46,80.36,85.45,74.55,96.49,91.23,83.33,,87.10,82.14
17K246,M.S. 246 WALT WHITMAN,17,Brooklyn,246,,,,,,,19.39,11.76,15.25,4.80,20.83,1.54,18.75,5.60
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,3,Manhattan,250,,,,,,,18.00,18.00,34.62,25.00,38.60,15.79,30.82,19.50
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,2,Manhattan,255,,,,,,,83.72,89.15,95.04,92.56,92.44,80.00,90.24,88.31
03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,3,Manhattan,256,,,,,,,15.63,8.57,17.02,13.21,22.86,17.14,18.42,13.01
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,2,Manhattan,260,,,,,,,82.80,81.72,70.93,64.29,74.68,51.92,76.36,68.56
16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",16,Brooklyn,267,,,,,,,53.85,61.54,40.00,50.00,45.28,51.06,44.55,52.27
08X301,M.S. 301 PAUL L. DUNBAR,8,Bronx,301,,,,,,,4.29,8.33,1.64,3.17,8.96,2.74,5.05,4.81
08X302,M.S. 302 LUISA DESSUS CRUZ,8,Bronx,302,,,,,,,13.19,13.51,21.48,15.03,22.36,14.02,19.16,14.19
06M319,M.S. 319 - MARIA TERESA,6,Manhattan,319,,,,,,,14.63,12.10,24.24,17.58,35.51,15.38,25.12,15.28
06M324,M.S. 324 - PATRIA MIRABAL,6,Manhattan,324,,,,,,,13.79,25.98,22.79,21.28,25.90,19.44,21.23,22.34
06M326,M.S. 326 - WRITERS TODAY & LEADERS TOMORROW,6,Manhattan,326,,,,,,,21.62,16.67,8.33,2.38,30.26,13.19,22.82,11.43
06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,6,Manhattan,328,,,,,,,10.34,3.45,7.14,2.33,8.93,1.64,8.66,2.26
28Q358,M.S. 358,28,Queens,358,,,,,,,25.86,16.38,,,,,25.86,16.38
10X390,M.S. 390,10,Bronx,390,,,,,,,8.99,9.39,10.53,10.22,15.46,6.73,11.03,9.00
15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,15,Brooklyn,442,,,,,,,40.00,50.94,28.30,23.64,22.95,0.00,30.18,26.49
15K051,M.S. 51 WILLIAM ALEXANDER,15,Brooklyn,51,,,,,,,79.54,83.63,84.46,85.59,80.77,60.00,81.69,80.02
14K582,M.S. 582,14,Brooklyn,582,,,,,,,17.33,4.00,16.90,15.07,25.00,7.94,19.63,9.00
16K584,M.S. 584,16,Brooklyn,584,,,,,,,12.50,3.85,0.00,5.26,18.75,11.43,12.00,7.50
15K839,M.S. 839,15,Brooklyn,839,,,,,,,38.57,30.88,,,,,38.57,30.88
13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,13,Brooklyn,266,,,,,,,16.67,12.96,19.51,12.50,27.27,4.35,19.66,11.11
17K394,M.S. K394,17,Brooklyn,394,29.31,27.59,29.17,29.17,25.64,25.00,25.00,6.12,15.79,5.26,20.83,0.00,23.91,15.49
03M245,M.S. M245 THE COMPUTER SCHOOL,3,Manhattan,245,,,,,,,68.00,69.05,76.61,68.00,76.58,7.69,73.61,62.82
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,3,Manhattan,247,,,,,,,23.91,32.73,28.57,24.62,50.00,57.89,34.36,37.85
08X101,M.S. X101 EDWARD R. BYRNE,8,Bronx,101,,,,,,,49.67,42.38,53.59,32.03,51.33,30.56,51.54,35.04
16K681,MADIBA PREP MIDDLE SCHOOL,16,Brooklyn,681,,,,,,,29.55,22.73,19.05,28.57,18.57,1.82,21.79,16.31
15K010,"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",15,Brooklyn,10,77.23,63.81,71.67,71.54,74.78,66.38,,,,,,,74.40,67.44
21K239,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,21,Brooklyn,239,,,,,,,85.31,90.19,87.89,88.07,90.07,81.97,87.71,86.88
31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,31,Staten Island,63,,,,,,,53.09,55.21,53.73,54.81,66.92,49.48,57.51,53.67
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,17,Brooklyn,590,,,,,,,81.91,79.79,78.79,,86.96,,82.46,79.79
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,28,Queens,167,,,,,,,46.51,29.67,42.42,21.65,43.90,7.89,44.19,22.57
06M322,MIDDLE SCHOOL 322,6,Manhattan,322,,,,,,,19.77,18.95,12.22,19.79,12.90,14.95,14.87,17.79
17K334,MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE,17,Brooklyn,334,,,,,,,20.00,50.00,15.79,0.00,3.03,0.00,9.68,8.06
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,18,Brooklyn,588,,,,,,,17.19,6.15,11.76,9.43,19.10,10.11,16.67,8.70
18K598,MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,18,Brooklyn,598,,,,,,,12.77,10.64,23.33,9.68,24.64,0.00,21.02,7.38
10X007,MILTON FEIN SCHOOL,10,Bronx,7,53.75,50.62,62.09,52.53,49.33,51.92,,,,,,,55.08,51.68
04M375,MOSAIC PREPARATORY ACADEMY,4,Manhattan,375,12.82,15.38,11.11,16.67,24.39,36.59,,,,,,,16.38,23.28
23K671,MOTT HALL BRIDGES ACADEMY,23,Brooklyn,671,,,,,,,19.72,24.29,16.36,18.18,24.62,0.00,20.42,15.88
08X467,MOTT HALL COMMUNITY SCHOOL,8,Bronx,467,,,,,,,16.67,5.88,22.08,9.21,16.95,0.00,18.64,6.45
03M862,MOTT HALL II,3,Manhattan,862,,,,,,,59.81,56.07,74.07,65.74,73.33,33.96,69.06,55.60
09X128,MOTT HALL III,9,Bronx,128,,,,,,,41.73,49.61,35.40,43.36,61.21,35.29,46.07,43.69
23K522,MOTT HALL IV,23,Brooklyn,522,,,,,,,21.05,15.79,22.50,14.63,35.21,12.68,28.19,14.00
12X242,MOTT HALL V,12,Bronx,242,,,,,,,13.68,12.63,25.00,11.00,22.92,8.16,20.62,10.58
09X555,MOUNT EDEN CHILDREN'S ACADEMY,9,Bronx,555,33.33,50.00,33.90,28.81,,,,,,,,,33.62,39.32
13K596,MS 596 PEACE ACADEMY,13,Brooklyn,596,,,,,,,15.00,10.53,0.00,0.00,28.57,0.00,16.67,5.13
06M314,MUSCOTA,6,Manhattan,314,70.59,64.71,70.00,40.00,72.73,86.36,,,,,,,70.93,61.63
01M363,NEIGHBORHOOD SCHOOL,1,Manhattan,363,30.00,33.33,0.00,33.33,41.18,29.41,,,,,,,30.30,31.25
17K532,NEW BRIDGES ELEMENTARY,17,Brooklyn,532,15.25,15.52,16.00,11.76,,,,,,,,,15.60,13.76
05M514,NEW DESIGN MIDDLE SCHOOL,5,Manhattan,514,,,,,,,22.92,4.08,1.69,1.69,10.87,5.62,11.06,4.06
09X350,NEW DIRECTIONS SECONDARY SCHOOL,9,Bronx,350,,,,,,,0.00,0.00,0.00,0.00,5.13,0.00,2.30,0.00
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1,Manhattan,539,94.55,98.17,96.49,96.49,97.25,97.25,92.96,97.18,96.43,93.33,85.00,,93.64,96.55
17K722,NEW HEIGHTS MIDDLE SCHOOL,17,Brooklyn,722,,,,,,,11.11,11.29,13.86,18.00,7.87,1.35,11.07,11.02
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,9,Bronx,328,,,,,,,9.09,0.00,8.93,3.77,16.33,23.53,11.11,8.19
15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,15,Brooklyn,443,,,,,,,77.91,81.18,82.93,68.75,72.59,30.43,78.13,67.42
27Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,27,Queens,306,26.39,36.99,53.57,47.46,41.77,51.25,,,,,,,39.61,45.28
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,2,Manhattan,312,,,,,,,82.54,92.55,89.02,94.22,90.59,59.52,87.22,89.83
17K006,NORMA ADAMS CLEMONS ACADEMY,17,Brooklyn,6,17.12,19.83,23.39,18.75,21.28,20.83,,,,,,,20.67,19.71
11X287,NORTH BRONX SCHOOL OF EMPOWERMENT,11,Bronx,287,,,,,,,16.95,8.33,13.89,4.17,17.98,4.40,16.36,5.38
11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,11,Bronx,529,,,,,,,15.89,25.93,10.42,7.37,31.43,19.05,19.48,17.86
01M292,ORCHARD COLLEGIATE ACADEMY,1,Manhattan,292,,,,,,,,,10.00,0.00,10.00,0.00,10.00,0.00
27Q062,P. S. 62 - CHESTER PARK SCHOOL,27,Queens,62,45.45,49.04,39.01,50.69,41.38,39.73,,,,,,,42.05,46.53
32K384,P.S. /I.S. 384 FRANCES E. CARTER,32,Brooklyn,384,14.00,9.43,30.00,18.03,19.05,14.06,34.00,21.15,33.90,8.06,33.33,9.86,27.64,13.22
02M001,P.S. 001 ALFRED E. SMITH,2,Manhattan,1,64.00,72.55,45.90,57.81,21.13,55.71,,,,,,,41.21,61.08
07X001,P.S. 001 COURTLANDT SCHOOL,7,Bronx,1,22.68,16.49,16.67,10.10,14.81,9.01,,,,,,,17.94,11.73
15K001,P.S. 001 THE BERGEN,15,Brooklyn,1,28.33,29.19,31.07,33.89,27.39,31.88,,,,,,,28.99,31.62
31R001,P.S. 001 TOTTENVILLE,31,Staten Island,1,40.28,31.94,68.35,45.57,44.78,23.88,,,,,,,51.83,34.40
30Q002,P.S. 002 ALFRED ZIMBERG,30,Queens,2,59.00,61.17,58.49,64.81,62.50,55.56,,,,,,,59.86,60.80
02M002,P.S. 002 MEYER LONDON,2,Manhattan,2,56.00,76.56,50.94,77.06,41.35,65.09,,,,,,,49.85,73.18
02M003,P.S. 003 CHARRETTE SCHOOL,2,Manhattan,3,72.38,79.05,76.06,76.92,73.77,79.66,,,,,,,74.35,78.18
13K003,P.S. 003 THE BEDFORD VILLAGE,13,Brooklyn,3,32.79,32.26,33.90,32.79,31.15,41.94,,,,,,,32.60,35.68
31R003,P.S. 003 THE MARGARET GIOIOSA SCHOOL,31,Staten Island,3,55.84,51.97,56.38,71.62,61.54,67.74,,,,,,,57.95,63.74
06M004,P.S. 004 DUKE ELLINGTON,6,Manhattan,4,25.24,25.45,31.00,23.30,17.28,35.96,,,,,,,25.00,27.81
31R004,P.S. 004 MAURICE WOLLIN,31,Staten Island,4,54.78,51.28,49.62,44.53,47.32,48.21,,,,,,,50.56,47.90
16K005,P.S. 005 DR. RONALD MCNAIR,16,Brooklyn,5,57.14,71.43,57.69,70.83,58.82,52.94,,,,,,,57.75,66.67
06M005,P.S. 005 ELLEN LURIE,6,Manhattan,5,15.56,14.44,22.22,24.73,10.14,17.11,,,,,,,16.47,18.92
31R005,P.S. 005 HUGUENOT,31,Staten Island,5,86.84,73.68,64.86,70.27,79.17,96.00,,,,,,,76.77,78.00
02M006,P.S. 006 LILLIE D. BLAKE,2,Manhattan,6,88.00,88.10,83.76,86.55,82.57,81.82,,,,,,,84.90,85.63
12X006,P.S. 006 WEST FARMS,12,Bronx,6,23.29,31.08,17.33,15.58,12.22,16.30,,,,,,,17.23,20.58
19K007,P.S. 007 ABRAHAM LINCOLN,19,Brooklyn,7,22.40,20.61,43.03,23.53,14.69,18.79,,,,,,,27.71,21.11
24Q007,P.S. 007 LOUIS F. SIMEONE,24,Queens,7,42.57,51.98,,,,,,,,,,,42.57,51.98
04M007,P.S. 007 SAMUEL STERN,4,Manhattan,7,37.04,33.33,47.06,29.41,32.00,32.00,29.55,11.63,27.03,23.68,28.57,15.63,33.17,23.12
10X008,P.S. 008 ISAAC VARIAN,10,Bronx,8,29.89,34.27,30.26,31.63,26.52,36.57,,,,,,,29.14,33.86
06M008,P.S. 008 LUIS BELLIARD,6,Manhattan,8,12.50,13.98,14.29,17.39,11.67,15.00,,,,,,,12.97,15.51
13K008,P.S. 008 ROBERT FULTON,13,Brooklyn,8,81.65,74.55,81.93,80.23,75.95,85.00,49.23,36.51,58.67,39.73,72.09,11.11,71.37,63.49
03M009,P.S. 009 SARAH ANDERSON,3,Manhattan,9,84.54,82.47,81.08,85.53,69.61,86.27,,,,,,,78.02,84.73
13K009,P.S. 009 TEUNIS G. BERGEN,13,Brooklyn,9,52.75,44.44,55.14,49.06,41.43,44.12,,,,,,,50.75,46.21
09X011,P.S. 011 HIGHBRIDGE,9,Bronx,11,25.45,23.64,23.85,26.13,30.58,23.58,,,,,,,26.76,24.42
30Q011,P.S. 011 KATHRYN PHELAN,30,Queens,11,43.89,41.21,50.28,58.89,39.06,39.70,46.72,45.65,,,,,44.75,46.21
13K011,P.S. 011 PURVIS J. BEHAN,13,Brooklyn,11,77.61,73.88,77.42,74.19,61.80,52.81,,,,,,,73.49,68.59
02M011,P.S. 011 WILLIAM T. HARRIS,2,Manhattan,11,67.22,67.78,71.72,66.44,63.93,63.93,,,,,,,67.79,66.30
24Q012,P.S. 012 JAMES B. COLGATE,24,Queens,12,50.93,59.09,56.06,58.91,51.13,63.56,,,,,,,52.61,60.59
24Q013,P.S. 013 CLEMENT C. MOORE,24,Queens,13,34.36,42.38,42.53,34.93,35.34,41.56,,,,,,,37.50,39.54
31R013,P.S. 013 M. L. LINDEMEYER,31,Staten Island,13,41.21,41.21,34.48,45.52,33.33,42.31,,,,,,,36.67,42.95
19K013,P.S. 013 ROBERTO CLEMENTE,19,Brooklyn,13,15.00,14.81,11.76,26.39,27.87,26.98,,,,,,,17.70,22.22
24Q014,P.S. 014 FAIRVIEW,24,Queens,14,25.00,30.77,30.00,29.63,23.66,24.66,,,,,,,26.32,28.45
29Q015,P.S. 015 JACKIE ROBINSON,29,Queens,15,33.80,26.39,37.66,32.91,37.33,41.89,,,,,,,36.32,33.78
15K015,P.S. 015 PATRICK F. DALY,15,Brooklyn,15,54.35,65.96,34.29,37.84,43.33,61.54,,,,,,,45.05,55.45
01M015,P.S. 015 ROBERTO CLEMENTE,1,Manhattan,15,20.00,19.05,20.00,33.33,18.75,12.50,,,,,,,19.61,21.15
31R016,P.S. 016 JOHN J. DRISCOLL,31,Staten Island,16,21.28,22.34,20.75,16.98,12.62,14.15,,,,,,,18.15,17.65
14K016,P.S. 016 LEONARD DUNKLY,14,Brooklyn,16,14.29,14.29,26.67,22.58,0.00,10.00,,,,,,,14.00,15.53
11X016,P.S. 016 WAKEFIELD,11,Bronx,16,16.67,13.89,34.85,31.88,14.81,12.35,,,,,,,21.46,18.92
14K017,P.S. 017 HENRY D. WOODWORTH,14,Brooklyn,17,40.54,48.65,30.19,32.08,34.15,45.00,,,,,,,34.35,40.77
